start	end	text
0	14600	Herzlich willkommen zum CISPA Podcast TLDR. Für alle, die diese Abkürzung nicht kennen,
14600	19960	sie steht für Too Long Didn't Read. Also etwas, das auf dem Papier sehr lang und vielleicht
19960	25320	für die meisten ein bisschen zu mühselig zu lesen ist. Trotzdem sind es viele unglaublich
25320	30400	interessante Arbeiten, die wir euch hier in der Pilotfolge und in den kommenden Ausgaben
30400	37600	von TLDR, dem ersten CISPA Podcast vorstellen möchten. Heute geht es um Ende-zu-Ende-Verschlüsselung
37600	42360	von Messengern wie WhatsApp und warum die Kommunikation darüber nicht unbedingt so
42360	47520	hundertprozentig sicher ist, wie wir alle hoffen. Ich bin Sebastian Klöckner aus der CISPA
47520	53280	Kommunikationsabteilung und zu Gast heute bei uns ist Matthias Fassl aus der Usable
53280	58160	Security Research Gruppe. Sehr schön. Hallo Matthias, herzlich willkommen. Du bist 31 Jahre,
58160	65280	kommst aus Wien ursprünglich und du bist in der Gruppe von Katharina Krompolz. Bevor wir auf das
65280	70400	alles eingehen, erzähl uns doch bitte kurz, wie bist du nach Saarbrücken gekommen? Was
70400	76080	hat dich hierher verschlagen? Es ist ja doch ein bisschen weit weg von zu Hause. Also die
76080	81880	kurze Geschichte ist, ich habe meine Masterarbeit bei Katharina geschrieben. Sie war zufrieden mit
81880	86800	der Arbeit und hat mir angeboten, hier nach Saarbrücken zu kommen. Zufälligerweise kannte
86800	91480	ich Saarbrücken schon vom Namen, aber ich habe trotzdem ein wenig Bedenkzeit gebraucht,
91480	96280	aber ich bereue es nicht. Vielleicht kannst du noch mal ganz kurz für die Leute, die das jetzt nicht
96280	104280	genau wissen, wer ist Katharina, was ist sie für dich? Die Katharina Krompolz hat ihr Doktorat an
104280	109960	der TU Wien gemacht, auch in einem Postdoc und ist in der Usable Security Community ziemlich bekannt,
109960	116960	auch weil sie mit Server-Administratoren arbeitet und auch viel mit HTTPS gemacht hat. Und sie hat
116960	122520	da dann quasi so eine Art wie einen Ruf oder ist ans TISPA gekommen und du bist dir quasi gefolgt,
122520	128520	ja? Okay, das ist doch interessant. Kannst du uns ein bisschen erklären, worum es in deinem
128520	133280	Forschungsgebiet genau geht, also für die, die jetzt nicht direkt aus der Cyber Security Forschung
133280	139480	kommen. Worum handelt es sich bei euch? Die Usable Security beschäftigt sich größtenteils damit,
139480	145600	wie Menschen mit Security-Mechanismen umgehen, das heißt, an welchen alltäglichen Sachen scheitern
145600	151120	sie, wo passieren Fehler, was kann man besser machen und auch wie kann man die Tools, die Leute
151120	158320	täglich verwenden, besser machen. Und was wäre das zum Beispiel für ein alltägliches Tool, was ich
158320	162320	zum Beispiel jeden Tag benutze, mit welchem beschäftigst du dich da auf Forschungsebene?
162320	167560	Ich beschäftige mich konkret, was jetzt das PIP angeht, auch sehr viel mit Instant-Messagen,
167680	175000	also WhatsApp, Signal, Telegram. Andere Forschungsthemen, mit denen Leute sehr oft im Kontakt sind,
175000	180480	sind zum Beispiel sichere Webseiten, diese Warnmeldungen, die kommen, wenn das Zertifikat
180480	185680	nicht passt. Das war sehr lange ein wichtiges Forschungsthema und natürlich Passwörter. Ich
185680	190600	glaube, alle verwenden Passwörter täglich. Okay, und Passwörter, das ist auch ein Bereich,
190600	197440	in dem ihr mit eurer Forschung ganz tief drin seid. Das ist quasi euer Kernthema. Ja, das ist
197440	203840	schon ziemlich tiefer forscht. Also wie suchen Leute sich Passwörter aus? Welche Strategien haben
203840	208800	sie sich zu merken? Wie kann man sie dazu bringen, bessere Passwörter zu verwenden? Wie bist du denn
208800	214600	persönlich in dieses Forschungsgebiet gekommen? Hast du schon direkt im Studium gemerkt, dass das
214600	220160	der Weg ist, den du einschlagen solltest? Oder ist da quasi das Forschungsgebiet zu dir gekommen?
220160	225440	Hast du dir das ausgesucht? Wie kam es dazu? Das ist eigentlich lustig. Ich wollte immer was ganz
225560	230720	anderes machen. Ich wollte mich im Computerarchitekturbereich beschäftigen und auch
230720	235520	spezialisieren. Und spätestens in einem Zeitpunkt, wo ich dann die Masterarbeit begonnen habe und
235520	240280	begonnen habe, Papers dazu zu lesen, mich einzulesen, habe ich festgestellt, es interessiert mich überhaupt
240280	247320	nicht. Also da fehlt der Funke. Und dann war ich frustriert und habe nachgeschaut, mit was ich mich
