start	end	text
0	3440	Mit Manfred Kläuber und das sind die Themen heute.
3520	6600	Timing-Attacke, das Anonymisierungsnetzwerk Tor,
6680	7880	ist angreifbar.
7960	12160	Angekommen, künstliche Intelligenz hat auch bei den Nobelpreisen gewonnen.
12240	15360	Datenschutz zitronen, fünf Überwachungstechnologien
15440	19840	erhalten den Big Brother Award und das digitale Logbuch IT-Zombies.
31000	33840	Wenn man Anonymisierung will im Internet,
33920	37360	ist der Tor-Browser immer noch die erste Möglichkeit.
37440	41560	Es gibt hier praktisch nicht so viele Alternativen, die sinnvoll sind.
41640	44920	Das sagt Matthias Fassel vom CISPA Helmholtz Zentrum
45000	47600	für Informationssicherheit in Saarbrücken.
47680	52040	So ganz selbstverständlich ist seine Einschätzung im Moment nicht.
52120	55360	Denn vor Kurzem sind gravierende Zweifel aufgekommen,
55440	58800	dass die Analyse der Analyse nicht in der Analyse ist.
59480	61880	Es gibt auch noch einen Zweifel,
61960	67000	ob das Anonymisierungsnetzwerk Tor, das Akronym steht für TheOnion-Router,
67080	70360	überhaupt noch sicher und vertrauenswürdig ist.
70440	73840	Denn am 18. September meldeten Kollegen des NDR
73920	76720	Anonymisierungsdienst Tor angreifbar.
76800	80520	Sie berichteten über erfolgreiche Timing-Attacken
80600	83960	von Strafverfolgungsbehörden auf das Tor-Netzwerk.
84040	86640	Bei mir ist mein Kollege Michael Gessert.
87120	89800	Über was die Kollegen hier berichtet haben,
89880	93480	das waren nachträglich bekanntgewordene Ermittlungsdetails
93560	95760	zu einem Fall aus dem Jahr 2021.
95840	98680	Damals hatten deutsche Strafverfolgungsbehörden
98760	102040	den Betreiber der pädokriminellen Plattform Boys Town
102120	105880	im sogenannten Darknet identifizieren können, oder?
105960	111160	Genau, wir sprechen wohlgemerkt über einen etwas länger zurückliegenden Fall,
111240	115200	bei dem die Ermittlungsmaßnahmen und ihre technische Vorbereitung
115240	119320	deutlich länger zurückliegen, bei dem aber diese technischen Details,
119400	122040	die zu dem Ermittlungserfolg geführt haben,
122120	124440	eben erst jetzt bekannt geworden sind.
124520	127600	Durch ein Posting auf der Internetplattform Reddit
127680	130160	Anfang des Jahres mit Ermittlungsdetails
130240	134040	lagen den Kollegen vom NDR und den für eine Einschätzung
134120	137560	hinzugezogenen Experten vom Chaos-Computer-Club CCC
137640	140400	aber auch noch weitere Informationen vor.
140480	144080	Und an dieser Stelle kam es dann zu gewissen Irritationen
144400	148800	oder auch zu einer Verunsicherung bei allen an Tor Interessierten.
148880	152880	Gab oder gibt es eben irgendeine grundsätzlich unbekannte Schwäche
152960	156240	im technischen Design des Anonymisierungsnetzwerkes?
156320	160200	Michael, an dieser Stelle sollten wir sofort auch mal auf das große,
160280	163440	ja, ziemlich grundsätzliche Dilemma zu sprechen kommen.
163520	168000	Im Sinne des Tor-Netzwerkes ist es ja im Internet vertraulich
168080	172200	und anonyme Infos abrufen oder kommunizieren zu können.
172280	175600	Zum Beispiel als Dissident in einem totalitären Regime
175680	180840	oder als Whistleblowerin in einem korrupten und böswilligen Unternehmen.
180920	183960	Das ist ja eigentlich die Idee von Tor, nicht?
184040	187680	Das ist eigentlich die Idee und deswegen setzen sich seit Jahrzehnten
187760	191000	Freiwillige aus der Open Source und aus der Privacy Community
191080	193440	intensiv für Tor ein.
193520	197840	Aber völlig klar von anonymer, nicht nachvollziehbarer Kommunikation im Netz.
197920	199920	Da profitieren auch Kriminelle.
199960	203680	Die verschleierten sogenannten Hidden Services im Tor-Netzwerk
203760	207880	sind eben das, was landläufig als Darknet bezeichnet wird.
207960	212320	Wobei wohlgemerkt, Hidden Services und damit auch das sogenannte Darknet,
212400	215120	das ist noch keinesfalls per se kriminell.
215200	217840	Aber dort tummeln sich eben auch viele Kriminelle.
217920	220960	Vielleicht müssen wir hier noch mal ganz kurz erklären,
221040	225800	wie Tor grundsätzlich funktioniert oder wie da die grundsätzliche Idee ist,
225840	230360	wenn ich über Tor mit dem Tor-Browser eine Webseite ansurfen will,
230440	233680	dann betrete ich das Tor-Netzwerk über einen Eintrittsserver,
233760	237480	den Entry-Node oder den Eintrittsknoten.
237560	241600	Von dort aus werden meine Kommunikations- und Surfdaten verschlüsselt,
241680	245240	weitergeleitet an einen mittleren Middle-Node
245320	248480	und von dort wiederum verschlüsselt an einen Exit-Node,
248560	251840	also an einen Ausgangsknoten, der dann die Webseite aufruft.
251920	254680	Der Witz, die angesteuerte Webseite weiß nicht,
254760	257000	von wem eigentlich die Anfrage kommt.
257080	260560	Und mein Provider und auch der Eingangsknoten
260640	264360	und auch irgendwelche Behörden wiederum, die mich eventuell überwachen,
264440	266480	die wissen gar nicht, was ich aufrufe.
266560	267640	Das ist das Konzept.
267720	270240	Jetzt hatte ja der Ex-US-Geheimdienstmitarbeiter
270320	273600	und Whistleblower Edward Snowden schon 2013
273680	277120	auf den Super-GAU für dieses Konzept hingewiesen.
277200	281240	Wenn ein Akteur, ein Geheimdienst, die technischen Ressourcen hat,
281280	284880	sowohl Eingänge als auch Ausgänge aus dem Tor-Netzwerk
284960	287440	quasi umfassend überwachen zu können,
287520	289080	dann kann er einfach feststellen,
289160	292440	jetzt gerade beginnt z.B. an einem Eingangsknoten in Deutschland
292520	295720	ein Download und gleichzeitig an einem Ausgangsknoten
295800	297560	in den USA ein Upload.
297640	299920	Das ist also sozusagen die Mutter
300000	303720	der sogenannten Korrelationsangriffe auf das Tor-Netzwerk.
303800	307400	Wenn ich eben an sich verschlüsselte und verschleierte Aktivitäten
307480	309920	zeitlich zueinander zuordnen kann,
310000	312840	dann lässt sich dadurch die Anonymität aushebeln.
312920	315640	Eine solche Korrelations- oder Timing-Attacke,
315720	317960	die funktioniert aber nicht nur bei Kommunikation
318040	320440	durch das Tor-Netzwerk hindurch,
320520	324000	sondern auch bei Verbindungen von außen in Tor hinein
324080	328480	zu den sogenannten Hidden Services, also zum Darknet.
328560	331720	Der Betreiber der pädokriminellen Plattform Boys Town
331800	334800	kommunizierte offenbar mit einem vermeintlich sicheren
334880	338040	torinternen Messenger namens Ricochet.
338080	341800	Dieser Messenger läuft im Tor-Netzwerk als Hidden Service,
341880	343560	als verdeckter Dienst.
343640	345440	Um mit diesem zu kommunizieren,
345520	348400	wird eine Art Treffpunkt im Tor-Netz ausgemacht.
348480	351240	Matthias Fassel vom CISPA Helmholtz-Zentrum
351320	353280	für Informationssicherheit in Saarbrücken.
353360	356080	Und dann sage ich diesem versteckten Dienst,
356160	360120	bitte verbinde dich auch dahin, damit wir kommunizieren können.
360200	363680	Das heißt, eine Behörde kann im Prinzip so oft
363760	365840	diesem versteckten Dienst sagen,
365920	368000	hey, baue doch eine neue Verbindung auf
368080	370880	und dann schauen, ob der versteckte Dienst
370960	375920	jetzt einen Knoten verwendet hat, der der Behörde untersteht,
376000	378000	also den sie betreibt oder überwachen kann.
378080	381280	So lief das offenbar auch im Boys Town-Fall ab.
381360	383640	Die Ermittlungsbehörden konnten mit dem Verdächtigen
383720	386120	über einen von ihnen kontrollierten Server
386200	388440	in Echtzeit kommunizieren.
388520	392840	Stellten sie eine Frage, dann konnten sie direkt in Echtzeit abgleichen,
392880	397800	über welchen Eingangsknoten zum Tornetz die Messenger-Antwort reinkommt.
397880	401360	Gegen solche Timing- und Echtzeitkorrelationsanalysen
401440	405640	gäbe es prinzipiell ein Gegenmittel, sagt Matthias Fassel.
405720	408680	Das Tornetzwerk könnte eine Art Datenrauschen
408760	412960	oder eine zufällige Verzögerung der übertragenen Daten einführen.
413040	415120	Aber wenn man das abändern würde
415200	418120	und zusätzliche Zeitverzögerungen einführt,
418200	420280	würde eben auch die Popularität abnehmen,
420360	422200	weil es dann weniger hilfreich wird.
422280	425560	Also noch mühsamer, das Tornetzwerk zu verwenden.
425640	428280	Und das würde auch mein Anonymity-Set dann einschränken,
428360	431240	weil es weniger Leute im Tornetzwerk gibt.
431320	434440	Und ein Tornetzwerk, das nur von drei Leuten verwendet wird,
434520	436680	ist halt auch nicht mehr besonders anonym.
436760	440400	Genau dieses Dilemma sieht auch Joachim Selzer vom CCC,
440480	442480	vom Chaos Computer Club.
442560	445000	Nach seiner Einschätzung werden Ermittlungsbehörden
445080	448160	und Geheimdienste auch weiterhin permanent versuchen,
448200	452800	kompromittierte Server, also Knoten, in das Tornetzwerk einzuschleusen.
452880	456320	Das heißt, wenn ich jetzt ein staatlicher Angreifer wäre,
456400	459360	würde ich kompromittierte Server ins Netz stellen,
